"LEVEL3_NAM" "LEVEL3_COD" "lon" "lat"
"99" "Egypt" "EGY" 29.556828650908 26.3217592149024
"100" "East Himalaya" "EHM" 92.8951748984087 27.8179711810416
"101" "El Salvador" "ELS" -88.8649037885076 13.7365557251995
"102" "Equatorial Guinea" "EQG" 10.4759767075856 1.5679308007055
"103" "Eritrea" "ERI" 38.863836383405 15.3581412439485
"104" "Ethiopia" "ETH" 39.6249750653303 8.61773190920015
"105" "Falkland Is." "FAL" -59.3697976875779 -51.7414139446026
"106" "Fiji" "FIJ" 178.54460648941 -17.463050332521
"107" "Finland" "FIN" 26.1755961468028 64.2489165953579
"108" "Florida" "FLA" -82.4422604974284 28.6379339976442
"109" "Føroyar" "FOR" -6.86330187859676 62.0484487727981
"110" "France" "FRA" 2.45828671277071 46.5849019239175
"111" "French Guiana" "FRG" -53.2412441044828 3.92369447001355
"112" "Gabon" "GAB" 11.7972643124951 -0.590520964675725
"113" "Galápagos" "GAL" -90.8933468124748 -0.562241398498751
"114" "Gambia, The" "GAM" -15.3858789626754 13.4542974748905
"115" "Georgia" "GEO" -83.4363716681213 32.6428437470767
"116" "Germany" "GER" 10.3722297409525 51.0536325624833
"117" "Gulf of Guinea Is." "GGI" 7.97460407016115 2.36857481244749
"118" "Ghana" "GHA" -1.20722570511692 7.9538682716735
"119" "Gilbert Is." "GIL" 174.32171074073 -0.0759458717231081
"120" "Guinea-Bissau" "GNB" -14.9878569472879 12.0164992848412
"121" "Greenland" "GNL" -41.8067342497094 73.1045561767551
"122" "Great Britain" "GRB" -2.55649626668818 54.0080402033522
"123" "Greece" "GRC" 22.6608374136066 39.3494368306987
"124" "Gulf States" "GST" 53.8776976231255 24.1240693619578
"125" "Guatemala" "GUA" -90.3594605941033 15.6983138449865
"126" "Guinea" "GUI" -10.935507488285 10.4396995749286
"127" "Guyana" "GUY" -58.9720743076166 4.78823573358885
"128" "Haiti" "HAI" -72.6852634151141 18.938492695427
"129" "Hawaii" "HAW" -156.363929979687 20.2747821827823
"130" "Howland-Baker Is." "HBI" -176.57803823715 0.605021392798152
"131" "Heard-McDonald Is." "HMD" 73.4971315582148 -53.0906665644612
"132" "Honduras" "HON" -86.6225427235447 14.8181081286003
"133" "Hungary" "HUN" 19.3969369832972 47.1696184311358
"134" "Iceland" "ICE" -18.6104347635744 64.9999056963207
"135" "Idaho" "IDA" -114.609003616153 44.3600050217839
"136" "Illinois" "ILL" -89.1561380556654 40.0972373491603
"137" "India" "IND" 78.3897523580169 21.6213536923842
"138" "Indiana" "INI" -86.2910643902655 39.8995978504307
"139" "Iowa" "IOW" -93.4921125512777 42.0792892148751
"140" "Ireland" "IRE" -7.91701763832882 53.4102033377778
"141" "Irkutsk" "IRK" 106.004653539199 57.0062868085297
"142" "Iran" "IRN" 54.4676698021997 32.5165603253305
"143" "Iraq" "IRQ" 43.8024601138996 33.0183404997209
"144" "Italy" "ITA" 12.3068269045708 43.4819403681722
"145" "Ivory Coast" "IVO" -5.55536566936389 7.62915571155462
"146" "Jamaica" "JAM" -77.3193155297381 18.1518242873633
"147" "Japan" "JAP" 137.668229807321 37.4745914835332
"148" "Jawa" "JAW" 110.072315303863 -7.29452853094253
"149" "Juan Fernández Is." "JNF" -79.5364865563747 -33.66589203269
"150" "Kamchatka" "KAM" 162.244687077401 58.6436987664436
"151" "Kansas" "KAN" -98.3676728818985 38.4923555197622
"152" "Kazakhstan" "KAZ" 67.2544369464374 48.3653352872791
"153" "Kerguelen" "KEG" 69.4785082196607 -49.2887374108314
"154" "Kenya" "KEN" 37.8579060572789 0.529518080664556
"155" "Kermadec Is." "KER" -177.915123438164 -29.2813753297693
"156" "Kirgizistan" "KGZ" 74.5226585837776 41.4770198525153
"157" "Khabarovsk" "KHA" 136.756867021303 54.1690322416277
"158" "Korea" "KOR" 127.457516373981 38.450422851015
"159" "Krasnoyarsk" "KRA" 95.1386468589915 65.6297795680325
"160" "Kriti" "KRI" 24.9487788648807 35.2465350043199
"161" "Krym" "KRY" 34.3262067824731 45.2756929366411
"162" "Kentucky" "KTY" -85.2989543396224 37.5359092418609
"163" "Kuril Is." "KUR" 150.436280703138 46.8882143531753
"164" "Kuwait" "KUW" 47.5942470437334 29.3415494046939
"165" "Kazan-retto" "KZN" 141.30867385754 24.9383492710016
"166" "Labrador" "LAB" -61.8924040229235 54.2375397592083
"167" "Laos" "LAO" 103.800633662678 18.4876503425751
"168" "Liberia" "LBR" -9.30559966299508 6.4472402325877
"169" "Lebanon-Syria" "LBS" 38.3494696128993 34.9518663944715
"170" "Libya" "LBY" 18.0808282139815 27.0306038183627
"171" "Laccadive Is." "LDV" 72.8847596000372 9.90262967562177
"172" "Leeward Is. AB Ant" "LEE" -62.2813489433616 16.9204167941726
"173" "Lesotho" "LES" 28.2445688783854 -29.5800341904621
"174" "Line Is." "LIN" -157.23905683557 0.851355739116666
"175" "Louisiana" "LOU" -92.0073186782738 31.0687454380548
"176" "Lesser Sunda Is." "LSI" 123.089967148762 -8.66592979534907
"177" "Magadan" "MAG" 164.777954363261 65.3294637541913
"178" "Maine" "MAI" -69.2398371782844 45.3836682363049
"179" "Manitoba" "MAN" -97.4870989941287 54.7396968162087
"180" "Macquarie Is." "MAQ" 158.892263372247 -54.613175040525
"181" "Massachusetts" "MAS" -71.8050844623283 42.2604154656491
"182" "Mauritius" "MAU" 57.5543882525023 -20.1918769410581
"183" "Mozambique Channel Is." "MCI" 44.8957489456376 -14.5045379182045
"184" "Marcus I." "MCS" 153.952679274126 24.3072330242128
"185" "Madagascar" "MDG" 46.7441978418438 -19.3180041270739
"186" "Madeira" "MDR" -16.9471955339818 32.7674404816404
"187" "Maldives" "MDV" 73.2523423945299 3.36497802289786
"188" "Michigan" "MIC" -85.6696588011476 44.842677224907
"189" "Minnesota" "MIN" -94.2005074585341 46.3147489192481
"190" "Mali" "MLI" -3.57218230887536 17.3196216546257
"191" "Malawi" "MLW" 34.3003557988076 -13.201422868015
"192" "Malaya" "MLY" 102.180218375243 4.02686177626615
"193" "Montana" "MNT" -109.611564698785 47.0537159514874
"194" "Maluku" "MOL" 127.989968055646 -1.41999171889789
"195" "Mongolia" "MON" 103.153731389789 46.9650086215018
"196" "Morocco" "MOR" -6.39353155288335 31.8679731558847
"197" "Mozambique" "MOZ" 35.6211353551896 -17.1824453508893
"198" "Marion-Prince Edward Is." "MPE" 37.7603980000953 -46.8594113187193
"199" "Marianas" "MRN" 145.190613503822 14.8813129749188
"200" "Marquesas" "MRQ" -139.588166063983 -9.36504379215062
"201" "Marshall Is." "MRS" 168.621209108088 8.41334317931105
"202" "Maryland" "MRY" -76.7996136899231 39.0566414668476
"203" "Mississippi" "MSI" -89.6758466390494 32.7408563635733
"204" "Missouri" "MSO" -92.4709750349634 38.3632181527816
"205" "Mauritania" "MTN" -10.3546343360686 20.2232167001648
"206" "Mexico Central" "MXC" -98.5852346414589 19.1311550272158
"207" "Mexico Northeast" "MXE" -102.976028233592 25.815236554295
"208" "Mexico Gulf" "MXG" -96.3828397737775 19.3685022045865
"209" "Mexican Pacific Is." "MXI" -115.29382968174 24.806998009729
"210" "Mexico Northwest" "MXN" -111.302608701794 28.4572378921409
"211" "Mexico Southwest" "MXS" -100.644924648851 18.8553679633082
"212" "Mexico Southeast" "MXT" -90.5886675283036 18.5011820516044
"213" "Myanmar" "MYA" 96.5154578709045 21.0661875627006
"214" "Namibia" "NAM" 17.0484703117759 -22.1735599000821
"215" "KwaZulu-Natal" "NAT" 30.7354014142962 -28.7026927343799
"216" "New Brunswick" "NBR" -66.3645542175676 46.6241043100498
"217" "North Carolina" "NCA" -79.3791124367607 35.5623064859294
"218" "Nicobar Is." "NCB" 93.6025832026479 7.50618584674979
"219" "North Caucasus" "NCS" 42.9425968451622 44.3573605582023
"220" "North Dakota" "NDA" -100.456130502001 47.451249793182
"221" "Nebraska" "NEB" -99.7763123925647 41.5384471146673
"222" "Nepal" "NEP" 83.9695314483751 28.2620890084453
"223" "Netherlands" "NET" 5.58961905817134 52.2478041491521
"224" "Nevada" "NEV" -116.628005345512 39.3313322549093
"225" "Norfolk Is." "NFK" 166.220744992087 -29.5863523690622
"226" "Newfoundland" "NFL" -56.0122404089093 48.705200687172
"227" "Nigeria" "NGA" 8.09538856789792 9.59039154094913
"228" "Niger" "NGR" 9.34372198586789 17.4190134386749
"229" "Nicaragua" "NIC" -85.0360883407339 12.8376423981433
"230" "Netherlands Antilles" "NLA" -68.6927394198584 12.1880733926671
"231" "Nansei-shoto" "NNS" 126.671440520295 25.7776547686857
"232" "Norway" "NOR" 12.2988865134329 63.971993499107
"233" "Nauru" "NRU" 166.930083394731 -0.522073298522723
"234" "Nova Scotia" "NSC" -63.3395398053768 45.1518039088651
"235" "New South Wales" "NSW" 147.026870800123 -32.173714850392
"236" "Northern Territory" "NTA" 133.357487319541 -19.3375877847336
"237" "Niue" "NUE" -169.868583408275 -19.0518975043208
"238" "Nunavut" "NUN" -90.4049831461027 69.659664549731
"239" "New Caledonia" "NWC" 165.665880688386 -21.2956678482082
"240" "New Guinea" "NWG" 140.807943711537 -5.35272984881403
"241" "New Hampshire" "NWH" -71.5820945214281 43.683681090197
"242" "New Jersey" "NWJ" -74.6648017357252 40.1844610337206
"243" "New Mexico" "NWM" -106.111904967338 34.4088216275135
"244" "Northwest Territories" "NWT" -118.407103328541 65.7204910962841
"245" "New York" "NWY" -75.698792627229 42.9939756047727
"246" "New Zealand North" "NZN" 175.711248121242 -38.5517485289571
"247" "New Zealand South" "NZS" 170.564937762069 -43.9962341646934
"248" "Free State" "OFS" 26.8772417626075 -28.6068359129292
"249" "Ogasawara-shoto" "OGA" 142.118012414114 27.007561619574
"250" "Ohio" "OHI" -82.714885268572 40.4094736160543
