LEVEL3_COD,lon,lat,LEVEL3_NAM,climate_zone,realm,total_sp,big_sp,non_big_sp,prop_big
STH,-5.717270939,-15.96202422,St.Helena,Arid,African,49,12,37,0.244897959
SUD,30.06561908,13.8148321,Sudan,Arid,African,3854,607,3247,0.157498703
SUL,121.2951379,-2.102603289,Sulawesi,Tropical,Indo-Malesian,3864,799,3065,0.206780538
SUM,101.6406133,-0.478077984,Sumatera,Tropical,Indo-Malesian,6655,1298,5357,0.195041322
SUR,-55.91166776,4.125999405,Surinam,Tropical,Neotropical,4152,725,3427,0.174614644
SVA,17.99627694,78.77089603,Svalbard,Polar,Holarctic,169,64,105,0.378698225
SWC,-85.11711137,15.43758024,Southwest Caribbean,Tropical,Neotropical,263,36,227,0.136882129
SWE,16.26310684,62.39205202,Sweden,Cold,Holarctic,1807,700,1107,0.387382402
SWI,8.232216071,46.8036004,Switzerland,Temperate,Holarctic,2459,641,1818,0.260675071
SWZ,31.49713148,-26.56118768,Swaziland,Arid,African,2502,401,2101,0.160271783
TAI,120.9565629,23.7444026,Taiwan,Temperate,Indo-Malesian,3696,666,3030,0.180194805
TAN,34.81213031,-6.262746947,Tanzania,Tropical,African,9272,1620,7652,0.174719586
TAS,146.5988821,-41.9368226,Tasmania,Temperate,Neovozealandic,1659,176,1483,0.106088005
TCI,-71.88191114,21.80887812,Turks-Caicos Is.,Tropical,Neotropical,398,54,344,0.135678392
TCS,45.63686257,41.01659557,Transcaucasus,Cold,Holarctic,5333,1110,4223,0.208138009
TDC,-11.20947816,-38.63416181,Tristan da Cunha,Temperate,Neotropical,57,8,49,0.140350877
TEN,-86.35475795,35.86610236,Tennessee,Temperate,Holarctic,2286,436,1850,0.190726159
TEX,-99.32924747,31.47758047,Texas,Temperate,Holarctic,4544,679,3865,0.149427817
THA,101.0125737,15.08422201,Thailand,Tropical,Indo-Malesian,10239,1684,8555,0.164469186
TKM,59.45945691,39.132229,Turkmenistan,Arid,Holarctic,2600,536,2064,0.206153846
TOG,0.97739295,8.5303726,Togo,Tropical,African,1962,310,1652,0.158002039
TOK,-164.6708772,-9.815168579,Tokelau-Manihiki,Tropical,Neovozealandic,61,15,46,0.245901639
TON,-174.8213497,-19.96866666,Tonga,Tropical,Neovozealandic,428,66,362,0.154205607
TRT,-61.252926,10.4681641,Trinidad-Tobago,Tropical,Neotropical,2310,462,1848,0.2
TUA,-145.2876641,-16.02879055,Tuamotu,Tropical,Chile-Patagonian,131,25,106,0.190839695
TUB,-150.0789541,-23.09844099,Tubuai Is.,Tropical,Neovozealandic,264,53,211,0.200757576
TUE,27.29704636,41.26052498,Turkey-in-Europe,Temperate,Holarctic,2132,328,1804,0.153846154
TUN,9.565007622,34.08071712,Tunisia,Arid,Saharo-Arabian,2311,282,2029,0.122025097
TUR,35.42360962,39.06082958,Turkey,Temperate,Holarctic,9545,2251,7294,0.235830278
TUV,178.1960678,-7.586409678,Tuvalu,Tropical,Neovozealandic,46,6,40,0.130434783
TVA,94.76217756,51.59019552,Tuva,Cold,Holarctic,1584,432,1152,0.272727273
TVL,28.10632996,-25.26948602,Northern Provinces,Arid,African,5089,798,4291,0.156808803
TZK,71.05534852,38.53396996,Tadzhikistan,Polar,Holarctic,4200,1077,3123,0.256428571
UGA,32.38582496,1.27962105,Uganda,Tropical,African,4443,763,3680,0.171730813
UKR,31.16311361,49.09810049,Ukraine,Cold,Holarctic,2933,632,2301,0.215479032
URU,-56.01924472,-32.79131577,Uruguay,Temperate,Neotropical,2455,413,2042,0.168228106
UTA,-111.6676725,39.31024982,Utah,Arid,Holarctic,2849,534,2315,0.187434187
UZB,63.33165625,41.77089629,Uzbekistan,Arid,Holarctic,3825,1002,2823,0.261960784
VAN,167.6939542,-16.1916359,Vanuatu,Tropical,Australian,993,207,786,0.208459215
VEN,-66.15773527,7.116930991,Venezuela,Tropical,Neotropical,14941,3104,11837,0.207750485
VER,-72.6632708,44.07653855,Vermont,Cold,Holarctic,1420,324,1096,0.228169014
VIC,144.2846189,-36.86438604,Victoria,Temperate,Australian,3184,438,2746,0.137562814
VIE,106.3507731,16.54877192,Vietnam,Temperate,Indo-Malesian,10702,1845,8857,0.172397683
VNA,-64.34858666,11.058544,Venezuelan Antilles,Arid,Neotropical,743,135,608,0.181695828
VRG,-78.83584968,37.52771559,Virginia,Temperate,Holarctic,2394,437,1957,0.182539683
WAK,166.6381915,19.30151619,Wake I.,Tropical,Holarctic,22,3,19,0.136363636
WAL,-177.1397321,-13.78513958,Wallis-Futuna Is.,Tropical,Neovozealandic,256,52,204,0.203125
WAS,-120.4366255,47.38882083,Washington,Temperate,Holarctic,2298,482,1816,0.209747607
WAU,122.2807796,-25.3290988,Western Australia,Arid,Australian,10439,1369,9070,0.13114283
WDC,-77.00956513,38.911623,District of Columbia,Temperate,Holarctic,987,209,778,0.211752786
WHM,76.7357897,33.29000901,West Himalaya,Polar,Saharo-Arabian,4978,1076,3902,0.216151065
WIN,-60.99485122,14.09139437,Windward Is.,Tropical,Neotropical,1730,365,1365,0.210982659
WIS,-89.71504615,44.6289919,Wisconsin,Cold,Holarctic,1690,356,1334,0.210650888
WSA,-13.18098962,24.64573547,Western Sahara,Arid,Saharo-Arabian,387,34,353,0.087855297
WSB,72.96386899,61.53519883,West Siberia,Cold,Holarctic,2051,547,1504,0.266699171
WVA,-80.62188379,38.63964022,West Virginia,Temperate,Holarctic,1625,316,1309,0.194461538
WYO,-107.543063,43.00201378,Wyoming,Arid,Holarctic,2153,467,1686,0.216906642
XMS,105.7036982,-10.44411444,Christmas I.,Tropical,Indo-Malesian,185,26,159,0.140540541
YAK,129.1850849,65.97439786,Yakutskiya,Cold,Holarctic,1693,522,1171,0.308328411
YEM,47.54739567,15.84614791,Yemen,Arid,Saharo-Arabian,2004,312,1692,0.155688623
YUG,18.79626782,44.15462382,Yugoslavia,Temperate,Holarctic,4773,1020,3753,0.213702074
YUK,-135.1695771,63.4639281,Yukon,Cold,Holarctic,1023,316,707,0.308895406
ZAI,23.64822303,-2.864259063,Zaïre,Tropical,African,9102,1450,7652,0.159305647
ZAM,27.83161805,-13.45037999,Zambia,Temperate,African,6025,1080,4945,0.179253112
ZIM,29.87131088,-18.99279997,Zimbabwe,Arid,African,4999,827,4172,0.165433087
