LEVEL3_COD,lon,lat,LEVEL3_NAM,climate_zone,realm,total_sp,big_sp,non_big_sp,prop_big
NZN,175.7112481,-38.55174853,New Zealand North,Temperate,Neovozealandic,1231,160,1071,0.12997563
NZS,170.5649378,-43.99623417,New Zealand South,Temperate,Neovozealandic,1677,224,1453,0.133571855
OFS,26.87724177,-28.60683591,Free State,Arid,African,2511,377,2134,0.150139387
OGA,142.1180124,27.00756161,Ogasawara-shoto,Temperate,Holarctic,269,46,223,0.171003717
OHI,-82.71488526,40.40947362,Ohio,Cold,Holarctic,1804,374,1430,0.207317073
OKL,-97.49505779,35.58934585,Oklahoma,Temperate,Holarctic,2162,360,1802,0.166512488
OMA,56.07961128,20.58265901,Oman,Arid,Saharo-Arabian,1287,161,1126,0.125097125
ONT,-85.44927931,49.93897517,Ontario,Cold,Holarctic,1917,467,1450,0.243609807
ORE,-120.5471472,43.93836854,Oregon,Arid,Holarctic,3077,593,2484,0.192720182
PAK,68.6744818,29.31104662,Pakistan,Arid,Saharo-Arabian,4331,865,3466,0.199722928
PAL,36.36676673,31.30285795,Palestine,Arid,Saharo-Arabian,2723,395,2328,0.145060595
PAN,-80.10862654,8.508128089,Panama,Tropical,Neotropical,9111,2571,6540,0.282186368
PAR,-58.43406861,-23.21702601,Paraguay,Tropical,Neotropical,5054,840,4214,0.166204986
PEI,-63.24142219,46.39707572,Prince Edward I.,Cold,Holarctic,615,120,495,0.195121951
PEN,-77.83828088,40.90610848,Pennsylvania,Cold,Holarctic,1953,409,1544,0.209421403
PER,-74.41386758,-9.118194083,Peru,Tropical,Neotropical,19335,5157,14178,0.266718386
PHI,122.908028,11.70141078,Philippines,Tropical,Indo-Malesian,8157,1895,6262,0.232315802
PHX,-171.7277259,-3.418797751,Phoenix Is.,Tropical,Neovozealandic,28,3,25,0.107142857
PIT,-128.4405462,-24.50910818,Pitcairn Is.,Tropical,Chile-Patagonian,91,19,72,0.208791209
POL,19.43067823,52.10936636,Poland,Cold,Holarctic,2040,508,1532,0.249019608
POR,-7.969596285,39.66623711,Portugal,Temperate,Holarctic,2460,369,2091,0.15
PRM,134.6434414,45.15318774,Primorye,Cold,Holarctic,1943,469,1474,0.24137931
PUE,-66.4661435,18.22135943,Puerto Rico,Tropical,Neotropical,2009,414,1595,0.206072673
QLD,144.4617421,-22.50262086,Queensland,Arid,Australian,7779,1259,6520,0.161845996
QUE,-71.76717982,53.02377526,Québec,Cold,Holarctic,1645,425,1220,0.258358663
REU,55.53812543,-21.12159103,Réunion,Temperate,African,727,138,589,0.189821183
RHO,-71.55991836,41.68349928,Rhode I.,Cold,Holarctic,1202,223,979,0.185524126
ROD,63.41352392,-19.71779542,Rodrigues,Tropical,African,168,34,134,0.202380952
ROM,24.97899314,45.8391852,Romania,Cold,Holarctic,3035,665,2370,0.219110379
RUC,39.7425862,54.83651108,Central European Russia,Cold,Holarctic,1817,453,1364,0.249312053
RUE,53.82182152,55.95614278,East European Russia,Cold,Holarctic,2290,616,1674,0.268995633
RUN,45.49439951,64.51780875,North European Russia,Cold,Holarctic,1378,416,962,0.301886792
RUS,44.6233412,48.86277937,South European Russia,Arid,Holarctic,2092,402,1690,0.192160612
RUW,31.18208683,58.74410132,Northwest European Russia,Cold,Holarctic,1239,336,903,0.271186441
RWA,29.91729106,-1.99797274,Rwanda,Tropical,African,2355,431,1924,0.183014862
SAK,142.711389,50.24696879,Sakhalin,Cold,Holarctic,1123,289,834,0.257346394
SAM,-172.0329104,-13.7971526,Samoa,Tropical,Neovozealandic,608,144,464,0.236842105
SAR,9.029199313,40.08640443,Sardegna,Temperate,Holarctic,1941,268,1673,0.138073158
SAS,-105.8738254,54.19517514,Saskatchewan,Cold,Holarctic,1172,282,890,0.240614334
SAU,44.71293945,23.98409453,Saudi Arabia,Arid,Saharo-Arabian,2004,307,1697,0.153193613
SCA,-80.89444109,33.91579709,South Carolina,Temperate,Holarctic,2454,430,2024,0.175224124
SCI,-149.886828,-17.45280893,Society Is.,Tropical,Neovozealandic,415,87,328,0.209638554
SCS,114.3609259,13.03975439,South China Sea,Tropical,Indo-Malesian,202,28,174,0.138613861
SCZ,166.2231697,-10.9918016,Santa Cruz Is.,Tropical,Indo-Malesian,208,42,166,0.201923077
SDA,-100.2166076,44.44574753,South Dakota,Cold,Holarctic,1354,276,1078,0.203840473
SEL,-15.86268657,30.14296054,Selvagens,Arid,Saharo-Arabian,95,8,87,0.084210526
SEN,-14.46407502,14.36556572,Senegal,Arid,African,2057,324,1733,0.157510938
SEY,55.52180785,-4.701416173,Seychelles,Tropical,African,309,59,250,0.190938511
SGE,-36.72372474,-54.35779129,South Georgia,Polar,Chile-Patagonian,15,5,10,0.333333333
SIC,14.14845372,37.56628716,Sicilia,Temperate,Holarctic,2386,369,2017,0.154652137
SIE,-11.79201973,8.559551306,Sierra Leone,Tropical,African,2521,305,2216,0.120983737
SIN,33.77032371,29.69838615,Sinai,Arid,Saharo-Arabian,1227,150,1077,0.122249389
SOA,135.7575392,-30.07553512,South Australia,Arid,Australian,3118,418,2700,0.134060295
SOC,53.78332354,12.49195325,Socotra,Arid,Saharo-Arabian,755,104,651,0.137748344
SOL,158.3233386,-8.14868981,Solomon Is.,Tropical,Indo-Malesian,1808,369,1439,0.20409292
SOM,45.84027734,6.048440239,Somalia,Arid,Saharo-Arabian,3098,554,2544,0.178825048
SPA,-3.561906317,40.36632734,Spain,Arid,Holarctic,5471,1039,4432,0.189910437
SRL,80.70482778,7.610678709,Sri Lanka,Tropical,Indo-Malesian,3207,487,2720,0.151855316
SSA,-26.66075559,-58.1512248,South Sandwich Is.,Polar,Chile-Patagonian,2,0,2,0
